"ISIC Rev. 4","CPC 2.1","CPA 2.1","Review","Redundancy","Unmatched","NoMatchFromA","NoMatchFromB","ISIC Rev. 4_Description","CPC 2.1_CPC21title","CPA 2.1_Name","CPA 2.1_Include","CPA 2.1_Exclude","CPA 2.1_URI","ISIC Rev. 4_ISIC4partial","ISIC Rev. 4_CPC21partial","CPA 2.1_CPA 2.1 label","CPA 2.1_CPC 2.1 label","CPA 2.1_Count of CPA 2.1","CPA 2.1_Count of CPC 2.1","CPA 2.1_Comment"
"","","01","","0","1","","1","","","Products of agriculture, hunting and related services","","","01","","","","","","",""
"","","01.1","","0","1","","1","","","Non-perennial crops","","","011","","","","","","",""
"","","01.11","","0","1","","1","","","Cereals (except rice), leguminous crops and oil seeds","This class includes:
- cereals, leguminous crops and oil seeds grown for food and other purposes","","0111","","","","","","",""
"","","01.11.1","","0","1","","1","","","Wheat","","","01111","","","","","","",""
"","","01.11.2","","0","1","","1","","","Maize","","","01112","","","","","","",""
"","","01.11.3","","0","1","","1","","","Barley, rye and oats","","","01113","","","","","","",""
"","","01.11.4","","0","1","","1","","","Sorghum, millet and other cereals","","","01114","","","","","","",""
"","","01.11.5","","0","1","","1","","","Cereals straw and husks","","","01115","","","","","","",""
"","","01.11.6","","0","1","","1","","","Green leguminous vegetables","","","01116","","","","","","",""
"","","01.11.7","","0","1","","1","","","Dried leguminous vegetables","This category includes: 
- leguminous vegetables, dried, whether or not shelled or split","","01117","","","","","","",""
"","","01.11.8","","0","1","","1","","","Soya beans and groundnuts","","","01118","","","","","","",""
"","","01.11.9","","0","1","","1","","","Other oil seeds","","","01119","","","","","","",""
"","","01.12","","0","1","","1","","","Rice, not husked","","","0112","","","","","","",""
"","","01.12.1","","0","1","","1","","","Rice, not husked","","","01121","","","","","","",""
"","","01.13","","0","1","","1","","","Vegetables and melons, roots and tubers","","This class excludes:
- 	forage plants, see 01.19.10
- 	seeds of forage plants, seeds of mangolds, see 01.19.31","0113","","","","","","",""
"","","01.13.1","","0","1","","1","","","Leafy or stem vegetables","","","01131","","","","","","",""
"","","01.13.2","","0","1","","1","","","Melons","","","01132","","","","","","",""
"","","01.13.3","","0","1","","1","","","Other fruit-bearing vegetables","","","01133","","","","","","",""
"","","01.13.4","","0","1","","1","","","Root, bulb or tuberous vegetables","","","01134","","","","","","",""
"","","01.13.5","","0","1","","1","","","Edible roots and tubers with high starch or inulin content","","","01135","","","","","","",""
"","","01.13.6","","0","1","","1","","","Vegetable seeds, except beet seeds","","","01136","","","","","","",""
"","","01.13.7","","0","1","","1","","","Sugar beet and sugar beet seeds","","","01137","","","","","","",""
"","","01.13.8","","0","1","","1","","","Mushrooms and truffles","","","01138","","","","","","",""
"","","01.13.9","","0","1","","1","","","Vegetables, fresh, n.e.c.","","","01139","","","","","","",""
"","","01.14","","0","1","","1","","","Sugar cane","","","0114","","","","","","",""
"","","01.14.1","","0","1","","1","","","Sugar cane","","","01141","","","","","","",""
"","","01.15","","0","1","","1","","","Unmanufactured tobacco","","","0115","","","","","","",""
"","","01.15.1","","0","1","","1","","","Unmanufactured tobacco","","","01151","","","","","","",""
"","","01.16","","0","1","","1","","","Fibre crops","","","0116","","","","","","",""
"","","01.16.1","","0","1","","1","","","Fibre crops","","","01161","","","","","","",""
"","","01.19","","0","1","","1","","","Other non-perennial crops","","","0119","","","","","","",""
"","","01.19.1","","0","1","","1","","","Forage crops","","","01191","","","","","","",""
"","","01.19.2","","0","1","","1","","","Cut flowers and flower buds; flower seeds","","","01192","","","","","","",""
"","","01.19.3","","0","1","","1","","","Beet seeds, seeds for forage plants; other raw vegetable materials","","","01193","","","","","","",""
"","","01.2","","0","1","","1","","","Perennial crops","","","012","","","","","","",""
"","","01.21","","0","1","","1","","","Grapes","","","0121","","","","","","",""
"","","01.21.1","","0","1","","1","","","Grapes","","","01211","","","","","","",""
"","","01.22","","0","1","","1","","","Tropical and subtropical fruits","","","0122","","","","","","",""
"","","01.22.1","","0","1","","1","","","Tropical and subtropical fruits","","","01221","","","","","","",""
"","","01.23","","0","1","","1","","","Citrus fruits","","","0123","","","","","","",""
"","","01.23.1","","0","1","","1","","","Citrus fruits","","","01231","","","","","","",""
"","","01.24","","0","1","","1","","","Pome fruits and stone fruits","","","0124","","","","","","",""
"","","01.24.1","","0","1","","1","","","Apples","","","01241","","","","","","",""
"","","01.24.2","","0","1","","1","","","Other pome fruits and stone fruits","","","01242","","","","","","",""
"","","01.25","","0","1","","1","","","Other tree and bush fruits and nuts","","","0125","","","","","","",""
"","","01.25.1","","0","1","","1","","","Berries and the fruits of the genus vaccinium","","","01251","","","","","","",""
"","","01.25.2","","0","1","","1","","","Fruit seeds","","","01252","","","","","","",""
"","","01.25.3","","0","1","","1","","","Nuts (excluding wild edible nuts, groundnuts and coconuts)","","This category excludes:
- groundnuts, in shell, see 01.11.82
- coconuts, see 01.26.20
- wild growing edible products, see 02.30.40
- shelled nuts and groundnuts, see 10.39.25","01253","","","","","","",""
"","","01.25.9","","0","1","","1","","","Other tree and bush fruits n.e.c.","","","01259","","","","","","",""
"","","01.26","","0","1","","1","","","Oleaginous fruits","","","0126","","","","","","",""
"","","01.26.1","","0","1","","1","","","Olives","","","01261","","","","","","",""
"","","01.26.2","","0","1","","1","","","Coconuts","","","01262","","","","","","",""
