PRODCOM 2021,Name,AdditionalText,URI
0099t,T-Codes,,0099t
0099tt,T-Codes,,0099tt
0099z,Z-Codes,,0099z
0099zz,Z-Codes,,0099zz
0710,Mining of iron ores,,0710
071010,Iron ores,,071010
07101010,Iron ores and concentrates. Non-agglomerated (excluding roasted iron pyrites),Reference to HS/CN:  2601 11,07101010
07101020,Iron ores and concentrates. Agglomerated (excluding roasted iron pyrites),Reference to HS/CN:  2601 12,07101020
0729,Mining of other non-ferrous metal ores,,0729
072911,Copper ores and concentrates,,072911
07291100,Copper ores and concentrates,Reference to HS/CN:  2603,07291100
072912,Nickel ores and concentrates,,072912
07291200,Nickel ores and concentrates,Reference to HS/CN:  2604,07291200
072913,Aluminium ores and concentrates,,072913
07291300,Aluminium ores and concentrates,Reference to HS/CN:  2606,07291300
072914,Precious metal ores and concentrates,,072914
07291410,Silver ores and concentrates,Reference to HS/CN:  2616 10,07291410
07291420,Other precious-metal ores and concentrates (excl. silver ores and concentrates),Reference to HS/CN:  2616 90,07291420
072915,"Lead, zinc and tin ores and concentrates",,072915
07291510,Lead ores and concentrates,Reference to HS/CN:  2607,07291510
07291520,Zinc ores and concentrates,Reference to HS/CN:  2608,07291520
07291530,Tin ores and concentrates,Reference to HS/CN:  2609,07291530
072919,Other non-ferrous metal ores and concentrates n.e.c.,,072919
07291905,Cobalt ores and concentrates,Reference to HS/CN:  2605,07291905
07291910,Chromium ores and concentrates,Reference to HS/CN:  2610,07291910
07291915,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight",Reference to HS/CN:  2602,07291915
07291920,Tungsten ores and concentrates,Reference to HS/CN:  2611,07291920
07291925,Molybdenum ores and concentrates. Roasted.,Reference to HS/CN:  2613 10,07291925
07291926,Molybdenum ores and concentrates. Other than roasted,Reference to HS/CN:  2613 90,07291926
07291930,Titanium ores and concentrates,Reference to HS/CN:  2614,07291930
07291935,Zirconium ores and concentrates,Reference to HS/CN:  2615 10,07291935
07291940,"Niobium, tantalum or vanadium ores and concentrates",Reference to HS/CN:  2615 90,07291940
07291945,Antimony ores and concentrates,Reference to HS/CN:  2617 10,07291945
07291990,Other ores and concentrates n.e.s.,Reference to HS/CN:  2617 90,07291990
0811,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,0811
081111,Marble and other calcareous ornamental or building stone,,081111
08111133,"Marble and travertine, crude or roughly trimmed",Reference to HS/CN:  2515 11,08111133
08111136,Marble and travertine merely cut into rectangular or square blocks or slabs,Reference to HS/CN:  2515 12,08111136
08111150,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity ≥ 2,5",Reference to HS/CN:  2515 20,08111150
081112,"Granite, sandstone and other ornamental or building stone",,081112
08111220,"Quartzite (crude, roughly trimmed or merely cut)",Reference to HS/CN:  2506 20,08111220
08111233,"Granite, crude or roughly trimmed",Reference to HS/CN:  2516 11,08111233
08111236,Granite merely cut into rectangular (including square) blocks or slabs,Reference to HS/CN:  2516 12,08111236
08111250,Sandstone,Reference to HS/CN:  2516 20,08111250
08111260,Other monumental or building stone,Reference to HS/CN:  2516 90,08111260
081120,Limestone and gypsum,,081120
08112030,Gypsum and anhydrite,Reference to HS/CN:  2520 10,08112030
08112050,"Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)",Reference to HS/CN:  2521,08112050
081130,Chalk and uncalcined dolomite,,081130
08113010,Chalk,Reference to HS/CN:  2509,08113010
08113030,"Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)",Reference to HS/CN:  2518 10,08113030
081140,Slate,,081140
08114000,"Slate, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs",Reference to HS/CN:  2514,08114000
0812,Operation of gravel and sand pits; mining of clays and kaolin,,0812
081211,Natural sands,,081211
08121150,Silica sands (quartz sands or industrial sands),Reference to HS/CN:  2505 10,08121150
08121190,"Sands such as clayey sands; kaolinic sands; feldspathic sands (excluding silica sands, metal bearing sands)",Reference to HS/CN:  2505 90,08121190
081212,"Granules, chippings and powder; pebbles, gravel",,081212
08121210,"Gravel and pebbles of a kind used for concrete aggregates, for road metalling or for railway or other ballast; shingle and flint",Reference to HS/CN:  2517 10 10,08121210
08121235,"Limestone, dolomite and other calcareous stone, broken or crushed",Reference to HS/CN:  2517 10 20,08121235
08121240,"Other broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast (excluding pebbles, gravel, shingle, flint, limestone, dolomite and other calcareous stone)",Reference to HS/CN:  2517 10 80,08121240
08121250,"Granules, chippings and powder of marble",Reference to HS/CN:  2517 41,08121250
08121290,"Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone",Reference to HS/CN:  2517 49,08121290
081213,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use",,081213
08121300,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use",Reference to HS/CN:  2517 20,08121300
081221,Kaolin and other kaolinic clays,,081221
08122140,"Kaolin, not calcined",Reference to HS/CN:  2507 00 20a,08122140
08122160,Kaolinitic clays (ball and plastic clays),Reference to HS/CN:  2507 00 80,08122160
081222,"Other clays, andalusite, kyanite and sillimanite; mullite; chamotte or dinas earths",,081222
08122210,Bentonite,Reference to HS/CN:  2508 10,08122210
08122230,Fireclay,Reference to HS/CN:  2508 30,08122230
08122255,Other clays,Reference to HS/CN:  2508 40,08122255
08122260,"Andalusite, kyanite and sillimanite",Reference to HS/CN:  2508 50,08122260
08122270,Mullite,Reference to HS/CN:  2508 60,08122270
08122280,Chamotte or dinas earths,Reference to HS/CN:  2508 70,08122280
0891,Mining of chemical and fertiliser minerals,,0891
089111,Natural calcium or aluminium calcium phosphates,,089111
08911100,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,Reference to HS/CN:  2510[.10 + .20],08911100
089112,Unroasted iron pyrites; crude or unrefined sulphur,,089112
08911220,Unroasted iron pyrites,Reference to HS/CN:  2502,08911220
08911230,Crude or unrefined sulphur (including recovered sulphur),Reference to HS/CN:  2503 00 10,08911230
089119,Other chemical and fertiliser minerals,,089119
08911900,Other chemical and fertiliser minerals,Reference to HS/CN:  2511[.10 + .20] + 2528 + 2529[.21 + .22] + 2530[.20 + .90],08911900
0893,Extraction of salt,,0893
089310,Salt and pure sodium chloride; sea water,,089310
08931000,"Salt (including denatured salt but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents",Reference to HS/CN:  2501[.00(.31 + .51 + .99)],08931000
0899,Other mining and quarrying n.e.c.,,0899
089910,"Bitumen and asphalt, natural; asphaltites and asphaltic rock",,089910
08991000,Natural bitumen and natural asphalt; asphaltites and asphaltic rocks,Reference to HS/CN:  2714 90,08991000
089921,"Precious and semi-precious stones (excluding industrial diamonds), unworked or simply sawn or roughly shaped",,089921
08992110,Diamonds unworked or simply sawn or roughly shaped,Reference to HS/CN:  7102[.10 + .31],08992110
08992120,"Precious stones (other than diamonds) and semi-precious stones, unworked or simply sawn or roughly shaped",Reference to HS/CN:  7103 10,08992120
089922,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives",,089922
08992210,"Industrial diamonds. Unworked or simply sawn, cleaved or bruted, but not mounted or set",Reference to HS/CN:  7102 21,08992210
08992220,Pumice stone,Reference to HS/CN:  2513 10,08992220
08992230,"Emery, natural corundum, natural garnet and other natural abrasives, whether or not heat-treated",Reference to HS/CN:  2513 20,08992230
089929,Other minerals,,089929
08992900,Other minerals,Reference to HS/CN:  2504[.10 + .90] + 2506 10 + 2512 + 2519[.10 + .90(.10 + .30 + .90)] + 2524[.10 + .90] + 2525[.10 + .20 + .30] + 2526[.10 + .20] + 2529[.10 + .30] + 2530 10 + 2621 90,08992900
100000Z1,"Prepared and preserved meat, meat offal or blood, including prepared meat and offal dishes",Reference to HS/CN:  1601[.00(.10 + .91 + .99)] + 1602[.20(.10 + .90) + .31(.11 + .19 + .80) + .32(.11 + .19 + .30 + .90) + .39(.21 + .29 + .85) + .41(.10 + .90) + .42(.10 + .90) + .49(.11 + .13 + .15 + .19 + .30 + .50 + .90) + .50(.10 + .31 + .95) + .90(.10 + .31 + .51 + .61,100000Z1
100000Z3,"Vegetables (except potatoes), preserved otherwise than by vinegar or acetic acid, including prepared vegetable dishes",Reference to HS/CN:  2002[.10(.10 + .90)] + 2003[.10(.20 + .30) + .90(.10 + .90)] + 2004[.90(.10 + .30 + .50 + .91 + .98)] + 2005[.40 + .51 + .59 + .60 + .70 + .80 + .91 + .99(.10 + .20 + .30 + .50 + .60 + .80)],100000Z3
100000Z4,"Crustaceans, molluscs and other aquatic invertebrates and seaweed, frozen, dried, salted, in brine or otherwise prepared or preserved; Fish, otherwise prepared or preserved; Prepared meals and dishes based on fish, crustaceans and molluscs",Reference to HS/CN:  0306[.11(.10 + .90) + .12(.10 + .90) + .14(.10 + .30 + .90) + .15 + .16(.91 + .99) + .17(.91 + .92 + .93 + .94 + .99) + .19(.10 + .90) + .91 + .92(.10 + .90) + .93(.10 + .90) + .94 + .95(.11 + .19 + .20 + .30 + .40 + .90) + .99(.10 + .90)] + 0307[.12 + .1,100000Z4
1011,Processing and preserving of meat,,1011
101111,"Meat of bovine animals, fresh or chilled",,101111
