"NACE2","CPA21","Label_NACE2","Label_CPA21","Include_NACE2","Exclude_NACE2","Include_CPA21","Exclude_CPA21","Comment","URL"
"01","01","Culture et production animale, chasse et services annexes","Produits de l'agriculture et de la chasse et services annexes","Cette division comprend deux activités de base, à savoir la production de produits végétaux et la production de produits animaux, ainsi que l’agriculture biologique, la culture de plantes génétiquement modifiées et l’élevage d’animaux génétiquement modifiés. Cette division comprend la culture de plein champ et la culture sous abris.  Le groupe 01.5 (Culture et élevage associés) rompt avec les principes usuels pour définir l’activité principale. Il tient compte du fait que de nombreuses exploitations agricoles ont une production végétale et animale assez équilibrée et qu’il serait arbitraire de les classer dans l’une ou l’autre catégorie.","Les activités agricoles excluent, en aval, les activités de transformation des produits agricoles (relevant des divisions 10 et 11 (Industries alimentaires et Industrie des boissons) et de la division 12 (Industrie du tabac)), au-delà de leur préparation pour les marchés primaires. La préparation de ces produits pour les marchés primaires est comprise dans cette division.  Cette division ne comprend pas la mise en état des terres (terrassements, drainage, préparation de rizières, etc.) classée dans la section F (Construction), ni la commercialisation de produits agricoles par des centrales d’achat et coopératives, classée dans la section G. Sont également exclus les services d’aménagement et d’entretien paysager, rangés dans la classe 81.30.",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_01"
"01.1","01.1","Cultures non permanentes","Cultures non permanentes","Ce groupe comprend les cultures non permanentes, c’est-à-dire les plantes dont la durée de vie ne dépasse pas deux saisons de croissance végétale. La culture de ces plantes aux fins de la production de semences est comprise.",NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_011"
"01.11","01.11.7","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Légumes à cosse, secs","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26","Cette catégorie comprend:  - les légumes à cosse, secs, avec ou sans cosse, cassés ou non",NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Céréales (à l'exclusion du riz), légumineuses et oléagineux","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26","Cette classe comprend: les céréales, les légumineuses et les graines oléagineuses cultivées à des fins alimentaires et autres",NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.5","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Paille et balles de céréales","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.6","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Légumes à cosse, verts","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.1","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Blé","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.2","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Maïs","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.3","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Orge, seigle et avoine","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.4","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Sorgho, millet et autres céréales","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.8","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Fèves de soja et arachides","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.11","01.11.9","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Autres oléagineux","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses","Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26",NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0111"
"01.12","01.12.1","Culture du riz","Riz, non décortiqué",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0112"
"01.12","01.12","Culture du riz","Riz, non décortiqué",NA,NA,NA,NA,NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0112"
"01.13","01.13","Culture de légumes, de melons, de racines et de tubercules","Légumes et melons, racines et tubercules","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules","Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30",NA,"Cette classe ne comprend pas: - les plantes fourragères, voir 01.19.10 - les semences de plantes fourragères, les semences de betteraves fourragères, voir 01.19.31",NA,"http://data.europa.eu/ux2/nace2/NACE2_CPA21_0113"
