"nace21","NAME","Parent","Include","Include_Also","Exclude"
"01","Crop and animal production, hunting and related service activities","A","IMPLEMENTATION RULE: In agriculture, one frequent situation where the breakdown of the value added presents difficulties is when, e.g. a unit produces grapes and manufactures wine from the own-produced grapes, or when it produces olives and manufactures oil from the own-produced olives. In these cases the most suitable proxy variable is the number of hours worked and applying it to these vertically integrated activities would generally lead to classification of the units under agriculture. In the same case for other agricultural products, units will be classified in agriculture by convention, in order to guarantee harmonised treatment.","This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.","Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10, 11 and 12), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.  The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice paddies) classified in section F and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded are landscape service activities, which are classified in class 81.30."
"01.1","Growing of non-perennial crops","01",NA,NA,NA
"01.11","Growing of cereals, other than rice, leguminous crops and oil seeds","01.1",NA,NA,"This class excludes: - growing of rice, see 01.12 - growing of sweet corn, see 01.13 - growing of maize, lupines, kale for fodder, see 01.19 - growing of oleaginous fruits, see 01.26"
"01.12","Growing of rice","01.1",NA,NA,NA
"01.13","Growing of vegetables and melons, roots and tubers","01.1",NA,"This class also includes: - growing of sweet corn","This class excludes: - spices and aromatic crops, see 01.28  - growing of mushroom spawn, see 01.30"
"01.14","Growing of sugar cane","01.1",NA,NA,"This class excludes: - growing of sugar beet, see 01.13"
"01.15","Growing of tobacco","01.1",NA,NA,"This class excludes: - manufacture of tobacco products, see 12.00"
"01.16","Growing of fibre crops","01.1",NA,NA,NA
"01.19","Growing of other non-perennial crops","01.1",NA,NA,"This class excludes: - growing of sugar beet seeds, see 01.13 - growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 01.28"
"01.2","Growing of perennial crops","01",NA,NA,NA
"01.21","Growing of grapes","01.2",NA,NA,"This class excludes: - manufacture of juice, see 10.32 - manufacture of wine, see 11.02"
"01.22","Growing of tropical and subtropical fruits","01.2",NA,NA,NA
"01.23","Growing of citrus fruits","01.2",NA,NA,NA
"01.24","Growing of pome fruits and stone fruits","01.2",NA,NA,"This class excludes: - growing of mangoes, rambutans and lychees, see 01.22 - growing of olives, see 01.26"
"01.25","Growing of other tree and bush fruits and nuts","01.2",NA,NA,"This class excludes: - growing of coconuts, see 01.26"
"01.26","Growing of oleaginous fruits","01.2",NA,NA,"This class excludes: - growing of soya beans, groundnuts and other oil seeds, see 01.11 - growing of nuts for oil, e.g. walnuts, almonds, hazelnuts, pine nuts, pistachios, see 01.25"
"01.27","Growing of beverage crops","01.2",NA,NA,"This class excludes: - growing of grapes, see 01.21 - growing of hops, see 01.28"
"01.28","Growing of spices, aromatic, drug and pharmaceutical crops","01.2",NA,"This class also includes: - sun drying of spices, aromatic, medicinal and pharmaceutical plants, associated with the growing of the plants","This class excludes: - sun drying of spices, aromatic, medicinal and pharmaceutical plants, by third parties, see 01.63"
"01.29","Growing of other perennial crops","01.2",NA,NA,"This class excludes: - growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19 - gathering of tree sap or rubber-like gums in the wild, see 02.30"
"01.3","Plant propagation","01",NA,NA,NA
"01.30","Plant propagation","01.3",NA,NA,"This class excludes: - growing of plants for the purpose of seed production, see 01.1, 01.2 - operation of forest tree nurseries, see 02.10"
"01.4","Animal production","01",NA,NA,"This group excludes: - farm animal boarding and care, see 01.62 - production of hides and skins from slaughterhouses, see 10.11"
"01.41","Raising of dairy cattle","01.4",NA,NA,"This class excludes: - processing of milk, see 10.51"
"01.42","Raising of other cattle and buffaloes","01.4",NA,"This class also includes: - raising and breeding of draft cattle or buffaloes  - raising and breeding of fighting bulls",NA
"01.43","Raising of horses and other equines","01.4",NA,NA,"This class excludes: - operation of racing and riding stables (if they do not have breeding activities), see 93.19"
"01.44","Raising of camels and camelids","01.4",NA,NA,NA
"01.45","Raising of sheep and goats","01.4",NA,NA,"This class excludes: - sheep shearing on a fee or contract basis, see 01.62 - production of pulled wool, see 10.11 - processing of milk, see 10.51"
"01.46","Raising of swine and pigs","01.4",NA,NA,NA
"01.47","Raising of poultry","01.4",NA,NA,"This class excludes: - production of feathers or down, see 10.12"
"01.48","Raising of other animals","01.4",NA,NA,"This class excludes: - production of hides and skins originating from hunting and trapping, see 01.70 - raising of live ornamental fish, see 03.2  - operation of frog farms, crocodile farms, marine worm farms, see 03.21, 03.22 - operation of fish farms, see 03.21, 03.22 - boarding and training of pet animals, see 96.99 - operation of animal shelters for abandoned (pet) animals, see 96.99"
"01.5","Mixed farming","01",NA,NA,NA
"01.50","Mixed farming","01.5","IMPLEMENTATION RULE: The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit is 66% or more of standard output, the combined activity should not be included here, but allocated to crop or animal farming.",NA,"This class excludes: - mixed crop farming, see 01.1, 01.2 - mixed animal farming, see 01.4"
"01.6","Support activities to agriculture and post-harvest crop activities","01",NA,"Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market.",NA
