"nace2","NAME","Parent","Include","Include_Also","Exclude"
"01","Culture et production animale, chasse et services annexes","A","Cette division comprend deux activités de base, à savoir la production de produits végétaux et la production de produits animaux, ainsi que l’agriculture biologique, la culture de plantes génétiquement modifiées et l’élevage d’animaux génétiquement modifiés. Cette division comprend la culture de plein champ et la culture sous abris.  Le groupe 01.5 (Culture et élevage associés) rompt avec les principes usuels pour définir l’activité principale. Il tient compte du fait que de nombreuses exploitations agricoles ont une production végétale et animale assez équilibrée et qu’il serait arbitraire de les classer dans l’une ou l’autre catégorie.","Cette division comprend également les services annexes à l’agriculture, à la chasse, au piégeage et aux activités connexes.","Les activités agricoles excluent, en aval, les activités de transformation des produits agricoles (relevant des divisions 10 et 11 (Industries alimentaires et Industrie des boissons) et de la division 12 (Industrie du tabac)), au-delà de leur préparation pour les marchés primaires. La préparation de ces produits pour les marchés primaires est comprise dans cette division.  Cette division ne comprend pas la mise en état des terres (terrassements, drainage, préparation de rizières, etc.) classée dans la section F (Construction), ni la commercialisation de produits agricoles par des centrales d’achat et coopératives, classée dans la section G. Sont également exclus les services d’aménagement et d’entretien paysager, rangés dans la classe 81.30."
"01.1","Cultures non permanentes","01","Ce groupe comprend les cultures non permanentes, c’est-à-dire les plantes dont la durée de vie ne dépasse pas deux saisons de croissance végétale. La culture de ces plantes aux fins de la production de semences est comprise.",NA,NA
"01.11","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","01.1","Cette classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles.  Cette classe comprend: - la culture de céréales telles que:   • blé   • maïs-grain   • sorgho   • orge   • seigle   • avoine   • millet   • autres céréales n.c.a. - la culture de légumineuses telles que:   • haricots   • fèves   • pois chiches   • pois à vache   • lentilles   • lupins   • pois   • pois cajans   • autres légumineuses - la culture de graines oléagineuses telles que:   • graines de soja   • arachides   • graines de ricin   • graines de lin   • graines de moutarde   • graines de niger   • graines de colza   • graines de carthame   • graines de sésame   • graines de tournesol   • autres graines oléagineuses",NA,"Cette classe ne comprend pas: - la culture du riz, voir 01.12 - la culture du maïs doux, voir 01.13 - la culture du maïs fourrager, voir 01.19 - la culture de fruits oléagineux, voir 01.26"
"01.12","Culture du riz","01.1",NA,NA,NA
"01.13","Culture de légumes, de melons, de racines et de tubercules","01.1","Cette classe comprend: - la culture des légumes à feuilles et à tiges, tels que:   • artichauts   • asperges   • choux   • choux-fleurs et brocolis   • laitues et chicorées   • épinards   • autres légumes à feuilles et à tiges - la culture de plantes cultivées pour leurs fruits, telles que:   • concombres et cornichons   • aubergines   • tomates   • pastèques   • melons cantaloups   • autres melons et plantes cultivées pour leurs fruits - la culture des légumes à racines, à bulbes ou à tubercules, tels que:   • carottes   • navets   • ail   • oignons (et échalotes)   • poireaux et autres légumes alliacés   • autres légumes à racines, à bulbes ou à tubercules - la culture des champignons et des truffes - la production de semences de légumes, y compris de graines de betteraves sucrières, à l’exclusion des graines d’autres betteraves - la culture des betteraves sucrières - la culture d’autres légumes - la culture de racines et de tubercules, tels que:   • pommes de terre   • patates douces   • manioc   • ignames   • autres racines et tubercules",NA,"Cette classe ne comprend pas: - la culture de piments, de poivrons et d’autres plantes à épices et aromatiques, voir 01.28 - la culture de blanc de champignons, voir 01.30"
"01.14","Culture de la canne à sucre","01.1",NA,NA,"Cette classe ne comprend pas: - la culture de betteraves sucrières, voir 01.13"
"01.15","Culture du tabac","01.1",NA,NA,"Cette classe ne comprend pas: - la fabrication de produits à base de tabac, voir 12.00"
"01.16","Culture de plantes à fibres","01.1","Cette classe comprend: - la culture du coton - la culture de jute, de kenaf et d’autres fibres textiles libériennes - la culture de lin ou de chanvre - la culture de sisal et d’autres fibres textiles du genre agave - la culture de l’abaca, de la ramie et d’autres fibres textiles végétales - la culture d’autres plantes à fibres",NA,NA
"01.19","Autres cultures non permanentes","01.1","Cette classe comprend toutes les autres cultures non permanentes: - la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires - la production de graines de betteraves (à l’exclusion des graines de betteraves sucrières) et de graines de plantes fourragères - la culture de fleurs - la production de fleurs coupées et de boutons de fleurs - la production de semences de fleurs",NA,"Cette classe ne comprend pas: - les cultures non permanentes de plantes à épices, aromatiques, médicinales et pharmaceutiques, voir 01.28"
"01.2","Cultures permanentes","01","Ce groupe comprend les cultures permanentes, c’est-à-dire les plantes dont la durée de vie est supérieure à deux saisons de croissance végétale et qui perdent leurs feuilles après chaque saison ou dont la croissance est continue. La culture de ces plantes aux fins de la production de semences est comprise.",NA,NA
"01.21","Culture de la vigne","01.2","Cette classe comprend: - la production de raisins de cuve et de raisins de table dans des vignobles",NA,"Cette classe ne comprend pas: - la production de vins, voir 11.02"
"01.22","Culture de fruits tropicaux et subtropicaux","01.2","Cette classe comprend: - la culture de fruits tropicaux et subtropicaux   • avocats   • bananes et plantains   • dattes   • figues   • mangues   • papayes   • ananas   • autres fruits tropicaux et subtropicaux",NA,NA
"01.23","Culture d'agrumes","01.2","Cette classe comprend: - la culture d’agrumes   • pamplemousses et pomelos   • citrons et limettes   • oranges   • tangerines, mandarines et clémentines   • autres agrumes",NA,NA
"01.24","Culture de fruits à pépins et à noyau","01.2","Cette classe comprend: - la culture de fruits à pépins et à noyau:   • pommes   • abricots   • cerises et griottes   • pêches et nectarines   • poires et coings   • prunes et prunelles   • autres fruits à pépins et à noyau",NA,NA
"01.25","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","01.2","Cette classe comprend: - la culture de baies:   • myrtilles   • groseilles   • groseilles à maquereaux   • kiwis   • framboises   • fraises   • autres baies - la production de semences de fruits - la production de fruits à coque comestibles:   • amandes   • noix de cajou   • châtaignes   • noisettes   • pistaches   • noix communes   • autres fruits à coques - la culture d’autres fruits d’arbres ou d’arbustes   • caroubes",NA,"Cette classe ne comprend pas: - la culture de la noix de coco, voir 01.26"
"01.26","Culture de fruits oléagineux","01.2","Cette classe comprend: - la culture de fruits oléagineux:   • noix de coco   • olives   • palmiers à huile   • autres fruits oléagineux",NA,"Cette classe ne comprend pas: - la culture de fèves de soja, d’arachides et d’autres graines oléagineuses, voir 01.11"
