NAICS 2017,NAICS 2022,2017 NAICS Title,2022 NAICS Title,Change Indicator
71213,71213,Zoos and Botanical GardensT,Zoos and Botanical GardensT,
712130,712130,Zoos and Botanical Gardens,Zoos and Botanical Gardens,
321911,321911,Wood Window and Door Manufacturing,Wood Window and Door Manufacturing,
321,321,Wood Product ManufacturingT,Wood Product ManufacturingT,
321114,321114,Wood Preservation,Wood Preservation,
337211,337211,Wood Office Furniture Manufacturing,Wood Office Furniture Manufacturing,
33711,33711,Wood Kitchen Cabinet and Countertop ManufacturingT,Wood Kitchen Cabinet and Countertop ManufacturingT,
337110,337110,Wood Kitchen Cabinet and Countertop Manufacturing,Wood Kitchen Cabinet and Countertop Manufacturing,
32192,32192,Wood Container and Pallet ManufacturingT,Wood Container and Pallet ManufacturingT,
321920,321920,Wood Container and Pallet Manufacturing,Wood Container and Pallet Manufacturing,
33593,33593,Wiring Device ManufacturingT,Wiring Device ManufacturingT,
31213,31213,WineriesT,WineriesT,
312130,312130,Wineries,Wineries,
42482,42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,
424820,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,
221115,221115,Wind Electric Power Generation,Wind Electric Power Generation,
42,42,Wholesale TradeT,Wholesale TradeT,
425,425,Wholesale Electronic Markets and Agents and Brokers,Wholesale Trade Agents and Brokers,*
4251,4251,Wholesale Electronic Markets and Agents and Brokers,Wholesale Trade Agents and Brokers,*
42512,42512,Wholesale Trade Agents and Brokers,Wholesale Trade Agents and Brokers,***
425120,425120,Wholesale Trade Agents and Brokers,Wholesale Trade Agents and Brokers,***
11114,11114,Wheat FarmingT,Wheat FarmingT,
111140,111140,Wheat Farming,Wheat Farming,
311221,311221,Wet Corn Milling,Wet Corn Milling and Starch Manufacturing,*
333992,333992,Welding and Soldering Equipment Manufacturing,Welding and Soldering Equipment Manufacturing,
519,519,Other Information ServicesT,"Web Search Portals, Libraries, Archives, and Other Information ServicesT",***
2213,2213,"Water, Sewage and Other SystemsT","Water, Sewage and Other SystemsT",
483,483,Water TransportationT,Water TransportationT,
22131,22131,Water Supply and Irrigation Systems,Water Supply and Irrigation Systems,
221310,221310,Water Supply and Irrigation Systems,Water Supply and Irrigation Systems,
23711,23711,Water and Sewer Line and Related Structures ConstructionT,Water and Sewer Line and Related Structures ConstructionT,
237110,237110,Water and Sewer Line and Related Structures Construction,Water and Sewer Line and Related Structures Construction,
5622,5622,Waste Treatment and Disposal,Waste Treatment and Disposal,
56221,56221,Waste Treatment and Disposal,Waste Treatment and Disposal,
562,562,Waste Management and Remediation ServicesT,Waste Management and Remediation ServicesT,
5621,5621,Waste Collection,Waste Collection,
56211,56211,Waste Collection,Waste Collection,
42373,42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,
423730,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,
493,493,Warehousing and StorageT,Warehousing and StorageT,
4931,4931,Warehousing and StorageT,Warehousing and StorageT,
813212,813212,Voluntary Health Organizations,Voluntary Health Organizations,
6243,6243,Vocational Rehabilitation ServicesT,Vocational Rehabilitation ServicesT,
62431,62431,Vocational Rehabilitation ServicesT,Vocational Rehabilitation ServicesT,
624310,624310,Vocational Rehabilitation Services,Vocational Rehabilitation Services,
532282,532282,Video Tape and Disc Rental,Video Tape and Disc Rental,
54194,54194,Veterinary ServicesT,Veterinary ServicesT,
541940,541940,Veterinary Services,Veterinary Services,
3334,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment ManufacturingT","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment ManufacturingT",
33341,33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment ManufacturingT","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment ManufacturingT",
3212,3212,"Veneer, Plywood, and Engineered Wood Product ManufacturingT","Veneer, Plywood, and Engineered Wood Product ManufacturingT",
32121,32121,"Veneer, Plywood, and Engineered Wood Product ManufacturingT","Veneer, Plywood, and Engineered Wood Product ManufacturingT",
1112,1112,Vegetable and Melon FarmingT,Vegetable and Melon FarmingT,
11121,11121,Vegetable and Melon FarmingT,Vegetable and Melon FarmingT,
2371,2371,Utility System ConstructionT,Utility System ConstructionT,
22,22,UtilitiesT,UtilitiesT,
221,221,UtilitiesT,UtilitiesT,
48421,48421,Used Household and Office Goods MovingT,Used Household and Office Goods MovingT,
484210,484210,Used Household and Office Goods Moving,Used Household and Office Goods Moving,
44112,44112,Used Car Dealers,Used Car Dealers,
441120,441120,Used Car Dealers,Used Car Dealers,
32615,32615,Urethane and Other Foam Product (except Polystyrene) ManufacturingT,Urethane and Other Foam Product (except Polystyrene) ManufacturingT,
326150,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing,
4851,4851,Urban Transit SystemsT,Urban Transit SystemsT,
48511,48511,Urban Transit SystemsT,Urban Transit SystemsT,
337121,337121,Upholstered Household Furniture Manufacturing,Upholstered Household Furniture Manufacturing,
326121,326121,Unlaminated Plastics Profile Shape Manufacturing,Unlaminated Plastics Profile Shape Manufacturing,
326113,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,
33272,33272,"Turned Product and Screw, Nut, and Bolt ManufacturingT","Turned Product and Screw, Nut, and Bolt ManufacturingT",
11233,11233,Turkey ProductionT,Turkey ProductionT,
112330,112330,Turkey Production,Turkey Production,
333611,333611,Turbine and Turbine Generator Set Units Manufacturing,Turbine and Turbine Generator Set Units Manufacturing,
52592,52592,"Trusts, Estates, and Agency Accounts","Trusts, Estates, and Agency Accounts",
525920,525920,"Trusts, Estates, and Agency Accounts","Trusts, Estates, and Agency Accounts",
523991,523991,"Trust, Fiduciary, and Custody Activities","Trust, Fiduciary, and Custody Activities",
53212,53212,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and LeasingT","Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and LeasingT",
532120,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",
484,484,Truck TransportationT,Truck TransportationT,
336212,336212,Truck Trailer Manufacturing,Truck Trailer Manufacturing,
111335,111335,Tree Nut Farming,Tree Nut Farming,
7211,7211,Traveler AccommodationT,Traveler AccommodationT,
336214,336214,Travel Trailer and Camper Manufacturing,Travel Trailer and Camper Manufacturing,
5615,5615,Travel Arrangement and Reservation ServicesT,Travel Arrangement and Reservation ServicesT,
56151,56151,Travel AgenciesT,Travel AgenciesT,
561510,561510,Travel Agencies,Travel Agencies,
336,336,Transportation Equipment ManufacturingT,Transportation Equipment ManufacturingT,
42386,42386,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,
423860,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,
48-49,48-49,Transportation and WarehousingT,Transportation and WarehousingT,
54193,54193,Translation and Interpretation ServicesT,Translation and Interpretation ServicesT,
541930,541930,Translation and Interpretation Services,Translation and Interpretation Services,
485,485,Transit and Ground Passenger TransportationT,Transit and Ground Passenger TransportationT,
42392,42392,Toy and Hobby Goods and Supplies Merchant Wholesalers,Toy and Hobby Goods and Supplies Merchant Wholesalers,
